time,hatched,mass,parent_experience,temperature
5,1,48,first-time,13.2
4,1,49,experienced,12.8
18,1,50,first-time,11.6
1,1,49,first-time,11.1
5,1,56,experienced,13.5
7,1,53,first-time,12.1
4,1,51,first-time,11.5
14,0,50,first-time,11.3
4,1,54,experienced,13
12,1,46,first-time,12.7
14,1,53,first-time,13.6
2,1,45,experienced,13.8
15,1,46,first-time,8.5
11,0,48,experienced,16.4
1,1,47,experienced,13.1
4,1,50,experienced,8.9
7,1,45,first-time,11.5
13,0,52,first-time,11.8
13,0,50,first-time,13
9,1,49,experienced,11.9
2,1,51,experienced,14.9
18,0,52,first-time,12.5
21,1,49,first-time,8.9
15,0,52,first-time,8.9
1,1,53,experienced,10.1
1,1,50,experienced,10.9
4,1,47,first-time,11.1
4,1,51,experienced,11.4
16,1,46,first-time,14.6
