time,gone_off,fruit
5,1,banana
5,1,banana
3,1,orange
5,1,apple
7,1,banana
21,1,orange
9,0,orange
20,1,apple
2,0,apple
3,1,banana
1,0,orange
7,0,banana
11,0,orange
3,1,banana
21,0,apple
24,0,apple
2,0,apple
6,0,banana
8,0,apple
12,1,orange
1,0,orange
7,1,banana
5,0,apple
8,1,banana
8,1,banana
5,1,banana
8,0,orange
1,0,orange
3,0,banana
7,0,banana
14,1,apple
7,0,banana
17,0,apple
3,0,orange
17,0,banana
10,0,banana
7,1,orange
8,0,orange
21,0,apple
4,0,banana
6,0,apple
3,0,apple
8,1,banana
1,1,apple
9,1,banana
18,0,orange
1,1,orange
3,0,apple
9,0,orange
1,0,banana
4,1,orange
7,0,orange
