time,hatched,scales
18,1,blue
50,0,red
7,1,gold
50,0,gold
14,1,blue
1,1,gold
14,1,blue
13,1,blue
5,1,red
10,1,blue
50,0,red
3,1,gold
40,1,blue
18,1,blue
16,1,blue
23,1,red
10,1,gold
22,1,blue
29,1,gold
50,0,gold
50,0,blue
41,0,blue
50,0,red
2,1,blue
4,0,gold
4,1,gold
10,1,gold
38,1,red
25,0,red
1,1,red
35,1,gold
50,0,blue
2,1,red
39,1,blue
50,0,red
3,1,red
1,1,gold
50,0,gold
3,1,red
11,1,gold
50,0,gold
6,0,gold
30,1,blue
16,1,blue
1,1,blue
4,1,blue
13,1,blue
6,1,red
16,1,blue
39,1,gold
27,1,gold
2,1,red
26,0,red
4,1,red
12,1,blue
50,0,red
35,0,blue
12,1,blue
50,0,red
27,1,gold
50,0,blue
50,0,red
50,0,blue
15,1,red
32,1,blue
33,1,blue
2,1,blue
12,0,blue
25,1,blue
50,0,gold
42,1,blue
7,1,blue
4,1,blue
7,1,blue
3,1,gold
9,1,red
24,1,blue
4,1,red
47,0,gold
21,1,blue
13,1,gold
16,1,red
50,0,blue
4,1,red
2,1,blue
50,0,red
22,1,blue
6,1,red
16,1,blue
1,1,gold
14,1,red
32,1,gold
24,0,blue
24,1,blue
50,0,red
2,1,red
16,1,gold
8,1,red
50,0,blue
8,1,gold
50,0,gold
4,1,red
6,1,blue
23,1,gold
13,1,gold
1,0,red
50,0,blue
1,1,red
2,1,gold
50,0,red
12,1,gold
50,0,blue
50,0,red
3,1,blue
6,0,red
50,0,gold
35,1,blue
11,1,blue
50,0,red
6,1,red
