time,purchased,device,discount
16,1,desktop,discount
29,1,mobile,discount
1,1,desktop,none
1,1,desktop,discount
7,1,desktop,none
10,1,desktop,none
21,1,desktop,discount
10,1,desktop,none
10,1,mobile,discount
12,1,desktop,none
1,1,mobile,none
40,0,mobile,none
40,0,mobile,none
24,1,mobile,none
39,1,mobile,discount
15,1,desktop,none
40,0,mobile,discount
38,1,desktop,none
22,1,desktop,discount
12,1,desktop,none
17,1,mobile,discount
10,1,mobile,none
1,1,desktop,none
40,0,mobile,none
40,0,desktop,discount
37,1,mobile,none
10,1,desktop,discount
36,1,mobile,discount
30,1,desktop,none
23,1,mobile,none
9,1,mobile,none
26,1,desktop,discount
7,1,desktop,none
7,1,mobile,none
8,1,mobile,discount
40,0,mobile,none
33,1,desktop,none
2,1,mobile,none
1,1,desktop,discount
7,1,mobile,discount
5,1,mobile,discount
3,1,desktop,none
40,0,mobile,none
29,1,desktop,none
24,1,desktop,none
9,1,mobile,discount
25,1,mobile,none
3,1,mobile,none
15,1,mobile,none
1,1,mobile,discount
40,0,desktop,none
8,1,desktop,discount
40,0,desktop,none
22,1,desktop,discount
21,1,mobile,discount
27,1,mobile,none
10,1,desktop,discount
33,1,desktop,discount
9,1,desktop,none
10,1,mobile,discount
29,1,desktop,discount
40,0,desktop,discount
2,1,mobile,discount
12,1,desktop,none
40,0,desktop,discount
28,1,desktop,none
5,1,mobile,none
18,1,desktop,discount
10,1,desktop,discount
11,1,mobile,discount
40,0,desktop,none
24,1,mobile,none
10,1,mobile,discount
40,0,mobile,none
29,1,desktop,none
23,1,desktop,discount
11,1,desktop,discount
40,0,mobile,none
40,0,mobile,none
31,1,desktop,discount
4,1,desktop,discount
5,1,desktop,discount
10,1,mobile,none
29,1,mobile,none
10,1,desktop,none
4,1,mobile,discount
25,1,desktop,none
36,1,mobile,discount
40,0,mobile,none
